Pesquisas Qualitativas na Engenharia de Software; Jorge Melegati; Free University of Bozen-Bolzano; 2025-04-16
A linguagem de programação Elixir; José Valim; Dashbit; 2025-03-19
Diversidade e Inclusão em Engenharia de Software; Kiev Gama; CIn UFPE; 2025-02-19
Um Catálogo de Antipadrões de Micro Frontends, Nabson Silva; ; ; 2025-01-22
A Próxima Fronteira: Reflexões de 2024 na Engenharia de Software; ; ; 2024-12-18
A linguagem de programação Lua (e seu impacto na Engenharia de Software); ; ; 2024-11-19
Ontologias em Engenharia de Software; Giancarlo Guizzardi; University of Twente; 2024-10-16
50: Arquitetura de Software e Sistemas Adaptativos; Cecília Rubira; UNICAMP; 2024-09-20
49: Ciência Aberta em Engenharia de Software; Edson Oliveira Junior; UEM; 2024-08-22
48: Educação em Engenharia de Software; Davi Viana; UFMA; 2024-07-17
47: Reparo automático de programas; Fernanda Madeiral; Vrije Universiteit Amsterdam; 2024-06-19
46: Localização de Falhas de Software; Rui Maranhão Abreu; Universidade do Porto e Meta; 2024-05-15
45: Formação de Recursos Humanos de Excelência; Ana Regina Cavalcanti da Rocha; COPPE UFRJ; 2024-04-17
44: Como se faz DevOps; Leonardo Leite, Paulo Meirelles e Fabio Kon; ; 2024-03-20
Testes manuais cheiram mal! Catalogando e identificando test smells em língua natural, Elvys Soares; ; ; 2024-02-28
43: Engenharia de Software para Cidades Inteligentes; Thais Batista; UFRN; 2024-02-21
Itana Gimenes: pioneira da Engenharia de Software; ; ; 2024-02-18
41: Lean e Verificação de Software; Leonardo de Moura; AWS; 2024-01-29
42: Arquiteturas de Referência; Pablo Antonino; Fraunhofer IESE; 2024-01-29
Alessandro Garcia responde: "Qual é a próxima Fronteira da Engenharia de Software?"; ; ; 2023-10-30
40: Versionamento de Software; Leonardo Murta; UFF; 2023-10-18
39: Pesquisa na Indústria; Bruno Cartaxo; IFPE e StackSpot; 2023-09-20
38: Anotações de Código (e frameworks que as usam); Eduardo Guerra; UniBZ; 2023-08-16
FSE 2024 em Porto de Galinhas!; ; ; 2023-08-11
37: Medição de Software; Monalessa Barcellos; UFES; 2023-07-19
36: Software Security with Laurie Williams (North Carolina State University); ; ; 2023-06-21
Aviso sobre o próximo episódio (36) do Fronteiras da Engenharia de Software; ; ; 2023-06-07
35: Modernização de Software; Wesley Klewerton; ; 2023-05-17
34: Interação da pesquisa com a indústria; Sérgio Soares; CIn UFPE; 2023-04-19
33: Engenharia de Sistemas de Software Contemporâneos; Guilherme Horta Travassos; COPPE/UFRJ; 2023-03-15
32: Cognitive-Driven Development; Gustavo Pinto; Zup Innovation e UFPA; 2023-02-15
31: UX design em startups de software; Luciana Zaina; UFSCAR; 2023-01-16
30: Ecossistemas de software na indústria; Rodrigo Santos; UNIRIO; 2022-12-15
29: Sustentabilidade em Engenharia de Software; Leticia Duboc; La Salle; 2022-11-16
28: Sistemas Altamente Configuráveis; Márcio Ribeiro; UFAL; 2022-10-14
27: PARTE 2 de Contribuição em Projetos de Código Aberto; Igor Steinmacher; Northern Arizona University; 2022-09-15
26: Contribuição em Projetos de Código Aberto (PARTE 1); Igor Steinmacher; Northern Arizona University; 2022-08-15
25: Estudos Secundários em Engenharia de Software; Katia Felizardo; UTFPR; 2022-06-15
24: Engenharia de Requisitos; Marcos Kalinowski; PUC-Rio; 2022-05-13
23: DevRel; Awdren Fontão; UFMS; 2022-04-18
22: Segurança em Engenharia de Software; Joanna C.S. Santos; University of Notre Dame; 2022-03-15
21: Linguagens de Programação; Fernando Quintão; UFMG; 2022-02-15
20: Motivação e Satisfação de Engenheiros de Software; César França; UFRPE e CESAR School; 2022-01-14
19: Teste de Software com Simone Souza (ICMC-USP); ; ; 2021-12-15
18: Aprendizado de Máquina em Engenharia de Software; Maurício Aniche; TU Delft; 2021-11-17
17: Desenvolvimento de Software Livre com Igor Wiese (UTFPR); ; ; 2021-10-15
16: Desenvolvimento de Software no Setor Público com Edna Dias Canedo (UnB) ; ; ; 2021-09-17
15: Síntese de programas com Gustavo Soares (Microsoft); ; ; 2021-08-16
14: Estimativas de Software com Emilia Mendes (Blekinge Institute of Technology); ; ; 2021-07-15
13: Compreensão de Código com Fernando Castor (UFPE); ; ; 2021-06-17
12: Modularidade de Software com Paulo Borba (UFPE); ; ; 2021-05-22
#11. Reuso de Software com Eduardo Almeida (UFBA); ; ; 2021-04-21
#10. User Experience (UX) com Tayana Conte (UFAM); ; ; 2021-03-18
#9. Ensino de Engenharia de Software com Marco Tulio Valente (UFMG); ; ; 2021-02-18
#8. Arquitetura de Software com Ingrid Nunes (UFRGS); ; ; 2021-01-19
#7. IA na Engenharia de Software com Silvia Regina Vergilio (UFPR) ; ; ; 2020-12-16
#6. Integração Contínua com Uirá Kulesza (UFRN); ; ; 2020-11-23
#5. Refactoring com Alessandro Garcia (PUC-Rio); ; ; 2020-10-15
#4. Code smells com Marcelo Maia (UFU) - Parte 2; ; ; 2020-09-30
#4. Code smells com Marcelo Maia (UFU) - Parte 1; ; ; 2020-09-15
#3. Segurança em DevOps com Daniela S. Cruzes (SINTEF/NTNU); ; ; 2020-08-14
#2. Desenvolvimento de Software Distribuído com Prof. Rafael Prikladnicki (PUCRS); ; ; 2020-07-15
#1. Métodos Ágeis com Prof. Fabio Kon (IME/USP); ; ; 2020-06-15
#0. Teaser Fronteiras da Engenharia de Sofware Podcast; ; ; 2020-06-09
